Name,Prescribed_For,Side_Effects,URL
Abiraterone,Abiraterone is used in combination with prednisone to treat a certain type of prostate cancer that has spread to other parts of the body. Abiraterone is in a class of medications called androgen biosynthesis inhibitors. It works by decreasing the amount of certain hormones in the body.,"['joint swelling or pain', 'groin pain', 'hot flashes (a sudden wave of mild or intense body heat)', 'diarrhea', 'constipation', 'heartburn', 'cough', 'sore throat', 'stuffy or runny nose', 'difficulty falling asleep or staying asleep', 'dizziness', 'feeling faint or lightheaded', 'headache', 'confusion', 'fast or irregular heartbeats', 'muscle weakness or aches', 'leg pain', 'swelling of the hands, feet, ankles, or lower legs', 'shortness of breath', 'unusual bruising or bleeding', ', ', 'yellowing of the skin or eyes, nausea, vomiting, loss of appetite, extreme tiredness, lack of energy, dark urine, or pain in the upper right part of the stomach', 'flu-like symptoms such as fever', 'blood in urine', 'difficult, painful, or frequent urination', 'falling', 'bone fracture', 'rash', 'hives', 'itching', 'difficulty breathing or swallowing', 'or swelling of the face, lips, tongue or throat']",https://medlineplus.gov/druginfo/meds/a611046.html
AbobotulinumtoxinA Injection,AbobotulinumtoxinA injection is used to relieve the symptoms of cervical dystonia (spasmodic torticollis; uncontrollable tightening of the neck muscles that may cause neck pain and abnormal head positions). It is also used to temporarily smooth frown lines (wrinkles between the eyebrows). AbobotulinumtoxinA injection is used to treat spasticity (muscle stiffness and tightness) of muscles in the arms and legs in adults and children 2 years of age and older. AbobotulinumtoxinA injection is in a class of medications called neurotoxins. It works by blocking the nerve signals that cause uncontrollable tightening and movement of the muscles.,"['pain, bruising, redness, or tenderness in the place where you received the injection', 'headache', 'dry mouth', 'bone or muscle pain', 'pain in arms or legs', 'tiredness', 'nausea', 'depression', 'difficulty falling asleep or staying asleep', 'cough, sneezing, fever, nasal congestion, or sore throat', 'vision changes', 'sensitivity to light', 'reduced blinking or eye dryness', 'eyelid swelling, irritation, or pain', 'itching', 'rash', 'hives', 'swelling of the hands, feet, ankles, or lower legs', 'shortness of breath', 'dizziness', 'fainting', 'falling or problems with coordination', 'blood in urine', 'seizures']",https://medlineplus.gov/druginfo/meds/a609035.html
Paclitaxel (with albumin) Injection,Paclitaxel (with albumin) injection is used to treat breast cancer that has spread to other parts of the body and has not improved or worsened after treatment with other medications. Paclitaxel (with albumin) injection is also used in combination with other chemotherapy medications to treat non-small cell lung cancer (NSCLC). Paclitaxel (with albumin) injection is used in combination with gemcitabine (Gemzar) to treat cancer of the pancreas. Paclitaxel is in a class of medications called antimicrotubule agents. It works by stopping the growth and spread of cancer cells.,"['pain, redness, swelling, or sores in the place where the medication was injected', 'unusual tiredness or weakness', 'nausea', 'vomiting', 'diarrhea', 'sores in the mouth or throat', 'hair loss', 'swelling of the hands, feet, ankles or lower legs', 'blurred vision or vision changes', 'decreased urination', 'dry mouth', 'thirst', 'muscle pain or cramps', 'joint pain', 'numbness, burning, or tingling in the hands or feet', ""sudden onset of dry cough that doesn't go away"", 'shortness of breath', 'rash', 'hives', 'difficulty breathing or swallowing', 'swelling of the eyes, face, mouth, lips, tongue, or throat', 'pale skin', 'excessive tiredness', 'unusual bruising or bleeding', 'chest pain', 'slow or irregular heartbeat', 'fainting']",https://medlineplus.gov/druginfo/meds/a619008.html
Adalimumab Injection,"Adalimumab injection products are in a class of medications called tumor necrosis factor (TNF) inhibitors. They work by blocking the action of TNF, a substance in the body that causes inflammation.","['redness, itching, bruising, pain, or swelling in the place you injected adalimumab injection', 'nausea', 'headache', 'back pain', 'numbness or tingling', 'problems with vision', 'weakness in legs', 'chest pain', 'shortness of breath', 'rash, especially a rash on the cheeks or arms that is sensitive to sunlight', 'new joint pain', 'hives', 'itching', 'swelling of the face, feet, ankles, or lower legs', 'difficulty breathing or swallowing', 'fever, sore throat, chills, and other signs of infection', 'unusual bruising or bleeding', 'pale skin', 'dizziness', 'red, scaly patches or pus-filled bumps on the skin']",https://medlineplus.gov/druginfo/meds/a603010.html
Abrocitinib,"Abrocitinib is used to treat moderate to severe eczema (atopic dermatitis; a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes) in adults and children 12 years of age and older who cannot use other medications for their condition or whose eczema has not responded to other medications. Abrocitinib is in a class of medications called Janus kinase (JAK) inhibitors. It works by decreasing the activity of the immune system.","['cold symptoms including stuffy or runny nose, sneezing, sore throat', 'nausea', 'headache', 'dizziness', 'acne', 'vomiting', 'mouth and throat pain', 'rash', 'stomach pain', 'sudden changes in vision', 'tiredness, shortness of breath, or pale skin', 'unusual bruising or bleeding']",https://medlineplus.gov/druginfo/meds/a622008.html
Isotretinoin,"Isotretinoin is used to treat severe recalcitrant nodular acne (a certain type of severe acne) that has not been helped by other treatments, such as antibiotics. Isotretinoin is in a class of medications called retinoids. It works by slowing the production of certain natural substances that can cause acne.","['red, cracked, and sore lips', 'dry skin, eyes, mouth, or nose', 'nosebleeds', 'changes in skin color', 'peeling skin on the palms of the hands and soles of the feet', 'changes in the nails', 'slowed healing of cuts or sores', 'bleeding or swollen gums', 'hair loss or unwanted hair growth', 'sweating', 'flushing', 'voice changes', 'tiredness', 'cold symptoms', 'headache', 'blurred vision', 'dizziness', 'nausea', 'vomiting', 'seizures', 'slow or difficult speech', 'weakness or numbness of one part or side of the body', 'stomach pain', 'chest pain', 'difficulty swallowing or pain when swallowing', 'new or worsening heartburn', 'diarrhea', 'rectal bleeding', 'yellowing of the skin or eyes', 'dark colored urine', 'back, bone, joint or muscle pain', 'muscle weakness', 'difficulty hearing', 'ringing in the ears', 'vision problems', 'painful or constant dryness of the eyes', 'unusual thirst', 'frequent urination', 'trouble breathing', 'fainting', 'fast or pounding heartbeat', 'red, swollen, itchy, or teary eyes', 'fever', 'rash', 'peeling or blistering skin, especially on the legs, arms, or face', 'sores in the mouth, throat, nose, or eyes', 'red patches or bruises on the legs', 'swelling of the eyes, face, lips, tongue, throat, arms, hands, feet, ankles, or lower legs', 'difficulty swallowing or pain when swallowing']",https://medlineplus.gov/druginfo/meds/a681043.html
Fentanyl,"Fentanyl is used to treat breakthrough pain (sudden episodes of pain that occur despite round the clock treatment with pain medication) in cancer patients at least 18 years of age (or at least 16 years of age if using Actiq brand lozenges) who are taking regularly scheduled doses of another narcotic (opiate) pain medication, and who are tolerant (used to the effects of the medication) to narcotic pain medications. Fentanyl is in a class of medications called narcotic (opiate) analgesics. It works by changing the way the brain and nervous system respond to pain.","['drowsiness', 'headache', 'stomach pain', 'gas', 'heartburn', 'weight loss', 'difficulty urinating', 'changes in vision', 'anxiety', 'depression', 'unusual thinking', 'unusual dreams', 'difficulty falling asleep or staying asleep', 'dry mouth', 'sudden reddening of the face, neck, or upper chest', 'uncontrollable shaking of a part of the body', 'back pain', 'pain, sores, or irritation in the mouth in the area where you placed the medication', 'swelling of the hands, arms, feet, ankles, or lower legs', 'changes in heartbeat', 'agitation, hallucinations (seeing things or hearing voices that do not exist), fever, sweating, confusion, fast heartbeat, shivering, severe muscle stiffness or twitching, loss of coordination,or diarrhea', 'nausea, vomiting, loss of appetite, weakness, or dizziness', 'inability to get or keep an erection', 'irregular menstruation', 'decreased sexual desire', 'seizures', 'changes in heartbeat', 'chest pain', 'extreme drowsiness', 'rash', 'hives', 'itching', 'hoarseness', 'difficulty breathing or swallowing', 'or swelling of the face, mouth, tongue or throat']",https://medlineplus.gov/druginfo/meds/a605043.html
Acalabrutinib,Acalabrutinib is used to treat people with mantle cell lymphoma (MCL; a fast-growing cancer that begins in the cells of the immune system) who have already been treated with at least one other chemotherapy medication. It is also used alone or with obinutuzumab (Gazyva) to treat chronic lymphocytic leukemia (CLL; a type of cancer that begins in the white blood cells) and small lymphocytic lymphoma (SLL: a type of cancer that begins in the white blood cells). Acalabrutinib is in a class of medications called kinase inhibitors. It works by blocking the action of the abnormal protein that signals cancer cells to multiply. This helps stop the spread of cancer cells.,"['headache', 'nausea', 'vomiting', 'constipation', 'diarrhea', 'abdominal pain', 'rash', 'light bruising or small red or purple spots on skin', 'joint or muscle pain', 'extreme tiredness', 'fever, sore throat, chills, or other signs of infection', 'cough, shortness of breath, chest pain when you breathe or cough, fever', 'fast or irregular heartbeat, palpitations, feeling lightheaded or dizzy, fainting, shortness of breath, chest pain', 'unusual or severe bleeding or bruising', 'blood in your stools or black, tarry stools', 'pink or brown urine', 'vomiting blood or coffee ground vomit', 'coughing up blood', 'feeling dizzy, weak, or confused', 'changes in speech', 'headache that lasts a long time']",https://medlineplus.gov/druginfo/meds/a618004.html
Acamprosate,Acamprosate is used along with counseling and social support to help people who have stopped drinking large amounts of alcohol (alcoholism) to avoid drinking alcohol again. Drinking alcohol for a long time changes the way the brain works. Acamprosate works by helping the brains of people who have drunk large amounts of alcohol to work normally again. Acamprosate does not prevent the withdrawal symptoms that people may experience when they stop drinking alcohol. Acamprosate has not been shown to work in people who have not stopped drinking alcohol or in people who drink large amounts of alcohol and also overuse or abuse other substances such as street drugs or prescription medications.,"['diarrhea', 'gas', 'upset stomach', 'loss of appetite', 'dry mouth', 'dizziness', 'itching', 'weakness', 'nausea', 'anxiety', 'difficulty falling asleep or staying asleep', 'sweating', 'burning, tingling, or numbness in the hands, feet, arms, or legs', 'rash']",https://medlineplus.gov/druginfo/meds/a604028.html
Benzoyl Peroxide Topical,Benzoyl peroxide is used to treat mild to moderate acne.,"['dryness or peeling of skin', 'feeling of warmth', 'tingling', 'slight stinging', 'burning, blistering, redness, or swelling of the area of the treated area', 'rash', 'hives', 'itching', 'throat tightness', 'difficulty breathing', 'feeling faint', 'swelling of the eyes, face, lips, or tongue']",https://medlineplus.gov/druginfo/meds/a601026.html
Acarbose,Acarbose is used (with diet only or diet and other medications) to treat type 2 diabetes (condition in which the body does not use insulin normally and therefore cannot control the amount of sugar in the blood) . Acarbose works by slowing the action of certain chemicals that break down food to release glucose (sugar) into your blood. Slowing food digestion helps keep blood glucose from rising very high after meals.,"['shakiness', 'dizziness or lightheadedness', 'sweating ', 'nervousness or irritability', 'sudden changes in behavior or mood', 'headache', 'numbness or tingling around the mouth', 'weakness', 'pale skin ', 'hunger', 'clumsy or jerky movements', 'confusion', 'seizures', 'loss of consciousness', 'extreme thirst', 'frequent urination', 'extreme hunger', 'weakness', 'blurred vision', 'dry mouth', 'upset stomach and vomiting', 'shortness of breath', 'breath that smells fruity', 'decreased consciousness']",https://medlineplus.gov/druginfo/meds/a696015.html
Zafirlukast,Zafirlukast is used to prevent asthma symptoms. Zafirlukast is in a class of medications called leukotriene receptor antagonists (LTRAs). It works by blocking the action of certain natural substances that cause swelling and tightening of the airways.,"['headache', 'nausea', 'loss of appetite', 'pain in the right upper part of your stomach', 'excessive tiredness', 'lack of energy', 'itching', 'yellowing of the skin or eyes', 'flu-like symptoms', 'rash', 'swelling of the eyes, face, lips, tongue, or throat', 'difficulty breathing or swallowing', 'hoarseness', 'pain, burning, numbness, or tingling in the hands or feet']",https://medlineplus.gov/druginfo/meds/a697007.html
Somatropin,"Somatropin injection is used to replace growth hormone (a natural hormone produced by your body) in adults and children with growth hormone deficiency. Somatropin injection is also used to increase growth in children with certain conditions that affect normal growth and development. Somatropin injection (Serostim) is used to increase body weight and physical endurance in patients with human immunodeficiency virus (HIV) who have HIV-associated wasting syndrome. Somatropin injection (Zorbtive) is used to treat short bowel syndrome in adults who are receiving additional nutrition or fluids from intravenous (IV) therapy. Somatropin is a human growth hormone (hGH) analog. It works by replacing growth hormones that are normally produced in the body, which may result in increased growth, body weight, and improved absorption of nutrients and fluids from the intestines.","['skin thickening at injection site', 'injection site pain, redness, swelling, or itching', 'headache', 'muscle or joint pain', 'sore throat, cough, fever, or other signs of infection', 'ear pain', 'flatulence or large amounts of gas in the intestines or bowels', 'hair loss', 'vision changes, headache, nausea, and vomiting', 'ongoing pain that begins in the stomach area but may spread to the back nausea, vomiting, or loss of appetite', 'numbness, burning, tingling, or tingling in the hands, fingers, arms, legs, or feet', 'swelling of the hands, feet, ankles, or lower legs', 'excessive tiredness, muscle or joint pain, weakness, lightheadedness, darkening of the skin, or weight loss', 'new or persistent knee or hip pain, limping', 'breathing problems, snoring, or sleep apnea', 'enlarged breasts', 'hives', 'rash', 'itching', 'difficulty breathing or swallowing', 'sweating', 'swelling of the eyes, face, mouth, lips, tongue or throat', 'hoarseness', 'lightheadedness', 'fainting', 'or chest pain']",https://medlineplus.gov/druginfo/meds/a622022.html
Pseudoephedrine,"Pseudoephedrine is used to relieve nasal congestion caused by colds, allergies, and hay fever. It is also used to temporarily relieve sinus congestion and pressure. Pseudoephedrine will relieve symptoms but will not treat the cause of the symptoms or speed recovery. Pseudoephedrine is in a class of medications called nasal decongestants. It works by causing narrowing of the blood vessels in the nasal passages.","['restlessness', 'nausea', 'vomiting', 'weakness', 'headache', 'nervousness', 'dizziness', 'difficulty sleeping', 'stomach pain', 'difficulty breathing', 'fast, pounding, or irregular heartbeat']",https://medlineplus.gov/druginfo/meds/a682619.html
Albuterol Oral Inhalation,"Albuterol is used to prevent and treat difficulty breathing, wheezing, shortness of breath, coughing, and chest tightness caused by lung diseases such as asthma and chronic obstructive pulmonary disease (COPD; a group of diseases that affect the lungs and airways). Albuterol inhalation aerosol and powder for oral inhalation is also used to prevent breathing difficulties during exercise. Albuterol inhalation aerosol (Proair HFA, Proventil HFA, Ventolin HFA) is used in adults and children 4 years of age and older. Albuterol powder for oral inhalation (Proair Respiclick) is used in children 12 years of age and older. Albuterol solution for oral inhalation is used in adults and children 2 years of age and older. Albuterol is in a class of medications called bronchodilators. It works by relaxing and opening air passages to the lungs to make breathing easier.","['uncontrollable shaking of a part of the body', 'nervousness', 'headache', 'nausea', 'vomiting', 'cough', 'throat irritation', 'muscle, bone, or back pain', 'fast, pounding, or irregular heartbeat', 'chest pain', 'rash', 'hives', 'itching', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'increased difficulty breathing', 'difficulty swallowing', 'hoarseness']",https://medlineplus.gov/druginfo/meds/a682145.html
Quinapril,"Quinapril is used alone or in combination with other medications to treat high blood pressure. It is used in combination with other medications to treat heart failure. Quinapril is in a class of medications called angiotensin-converting enzyme (ACE) inhibitors. It works by decreasing certain chemicals that tighten the blood vessels, so blood flows more smoothly and the heart can pump blood more efficiently.","['dizziness', 'excessive tiredness', 'cough', 'upset stomach', 'vomiting', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty breathing or swallowing', 'yellowing of the skin or eyes', 'fever, sore throat, chills, and other signs of infection', 'chest pain', 'lightheadedness', 'fainting']",https://medlineplus.gov/druginfo/meds/a692026.html
Theophylline,"Theophylline is used to prevent and treat wheezing, shortness of breath, and chest tightness caused by asthma, chronic bronchitis, emphysema, and other lung diseases. It relaxes and opens air passages in the lungs, making it easier to breathe.","['upset stomach', 'stomach pain', 'diarrhea', 'headache', 'restlessness', 'difficulty falling asleep or staying asleep', 'irritability', 'vomiting', 'increased or rapid heart rate', 'irregular heartbeat', 'seizures', 'rash']",https://medlineplus.gov/druginfo/meds/a681006.html
Hydrochlorothiazide,"Hydrochlorothiazide is used alone or in combination with other medications to treat high blood pressure. Hydrochlorothiazide is used to treat edema (fluid retention; excess fluid held in body tissues) caused by various medical problems, including heart, kidney, and liver disease and to treat edema caused by using certain medications including estrogen and corticosteroids. Hydrochlorothiazide is in a class of medications called diuretics ('water pills'). It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine.","['frequent urination', 'diarrhea', 'loss of appetite', 'headache', 'hair loss', 'blisters or peeling skin', 'hives', 'rash', 'itching', 'difficulty breathing or swallowing', 'fever, sore throat, chills, and other signs of infection', 'unusual bleeding or bruising', 'ongoing pain that begins in the stomach area, but may spread to the back', 'joint pain or swelling', 'changes in vision, eye pain, or swelling or redness in or around the eye', 'dry mouth', 'thirst', 'nausea', 'vomiting', 'weakness, tiredness', 'drowsiness', 'restlessness', 'confusion', 'muscle weakness, pain, or cramps', 'fast heartbeat and other signs of dehydration and electrolyte imbalance']",https://medlineplus.gov/druginfo/meds/a682571.html
Acebutolol,Acebutolol is used alone or in combination with other medications to treat high blood pressure. Acebutolol also is used to treat certain irregular heart rhythms. Acebutolol is in a class of medications called beta blockers. It works by relaxing blood vessels and slowing heart rate to improve blood flow and decrease blood pressure.,"['dizziness', 'lightheadedness', 'excessive tiredness', 'headache', 'constipation', 'diarrhea', 'upset stomach', 'nausea', 'muscle or joint pain', 'difficulty falling asleep or staying asleep', 'shortness of breath or wheezing', 'slow heart rate', 'muscle or joint pain', 'unusual weight gain', 'swelling of the hands, feet, ankles, or lower legs', 'chest pain']",https://medlineplus.gov/druginfo/meds/a687003.html
Perindopril,Perindopril is used alone or in combination with other medications to treat high blood pressure. Perindopril is in a class of medications called angiotensin-converting enzyme (ACE) inhibitors. It makes blood flow more smoothly by preventing the production of certain natural chemicals that tighten the blood vessels.,"['cough', 'headache', 'weakness', 'dizziness', 'diarrhea', 'stomach pain', 'upset stomach', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'hoarseness', 'difficulty swallowing or breathing', 'lightheadedness', 'fainting', 'fever, sore throat, chills, and other signs of infection', 'irregular or rapid heartbeats']",https://medlineplus.gov/druginfo/meds/a602017.html
Acetaminophen,"Acetaminophen is used to relieve mild to moderate pain from headaches, muscle aches, menstrual periods, colds and sore throats, toothaches, backaches, reactions to vaccinations (shots), and to reduce fever. Acetaminophen may also be used to relieve the pain of osteoarthritis (arthritis caused by the breakdown of the lining of the joints). Acetaminophen is in a class of medications called analgesics (pain relievers) and antipyretics (fever reducers). It works by changing the way the body senses pain and by cooling the body.","['red, peeling or blistering skin', 'rash', 'hives', 'itching', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs ', 'hoarseness ', 'difficulty breathing or swallowing']",https://medlineplus.gov/druginfo/meds/a681004.html
Acetazolamide,"Acetazolamide is used to treat glaucoma, a condition in which increased pressure in the eye can lead to gradual loss of vision. Acetazolamide decreases the pressure in the eye. Acetazolamide is also used to reduce the severity and duration of symptoms (upset stomach, headache, shortness of breath, dizziness, drowsiness, and fatigue) of altitude (mountain) sickness. Acetazolamide is used with other medicines to reduce edema (excess fluid retention) and to help control seizures in certain types of epilepsy.","['upset stomach', 'vomiting', 'loss of appetite', 'numbness and tingling', 'increased thirst and urination', 'drowsiness', 'headache', 'confusion', 'fever', 'rash', 'blood in urine', 'painful urination', 'yellowing of the skin or eyes', 'seizures', 'sore throat', 'unusual bleeding or bruising']",https://medlineplus.gov/druginfo/meds/a682756.html
